2019-05-02 06:01:30,255 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 06:25:29,029 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Detected change in '/Users/mcossu/Projects/test/vending_machine/app/setup/views.py', reloading 
2019-05-02 06:25:29,059 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 06:25:29,230 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | WARNING |  * Debugger is active! 
2019-05-02 06:25:29,235 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Debugger PIN: 849-850-947 
2019-05-02 07:13:05,943 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:13:05] "GET /status/ HTTP/1.1" 400 - 
2019-05-02 07:14:57,479 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:14:57] "POST / HTTP/1.1" 405 - 
2019-05-02 07:15:25,964 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:15:25] "POST / HTTP/1.1" 405 - 
2019-05-02 07:15:37,268 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:15:37] "GET / HTTP/1.1" 200 - 
2019-05-02 07:33:22,532 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:33:22] "GET / HTTP/1.1" 200 - 
2019-05-02 07:34:41,784 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:34:41] "GET / HTTP/1.1" 200 - 
2019-05-02 07:35:10,481 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:35:10] "GET / HTTP/1.1" 200 - 
2019-05-02 07:35:12,631 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:35:12] "GET //status/ HTTP/1.1" 200 - 
2019-05-02 07:35:43,099 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:35:43] "GET / HTTP/1.1" 200 - 
2019-05-02 07:35:46,458 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:35:46] "GET //status/ HTTP/1.1" 200 - 
2019-05-02 07:37:34,458 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:37:34] "GET / HTTP/1.1" 200 - 
2019-05-02 07:37:36,487 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:37:36] "GET //status/ HTTP/1.1" 200 - 
2019-05-02 07:38:28,292 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Detected change in '/Users/mcossu/Projects/test/vending_machine/app/setup/views.py', reloading 
2019-05-02 07:38:28,329 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Restarting with stat 
2019-05-02 07:38:28,669 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | WARNING |  * Debugger is active! 
2019-05-02 07:38:28,676 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO |  * Debugger PIN: 849-850-947 
2019-05-02 07:38:33,097 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:38:33] "GET / HTTP/1.1" 200 - 
2019-05-02 07:38:35,017 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:38:35] "GET //status/ HTTP/1.1" 200 - 
2019-05-02 07:39:24,354 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:39:24] "GET //status/ HTTP/1.1" 200 - 
2019-05-02 07:39:29,990 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:39:29] "GET / HTTP/1.1" 200 - 
2019-05-02 07:39:32,375 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:39:32] "GET /status HTTP/1.1" 308 - 
2019-05-02 07:39:32,379 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:39:32] "GET /status/ HTTP/1.1" 400 - 
2019-05-02 07:49:10,166 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:49:10] "GET / HTTP/1.1" 200 - 
2019-05-02 07:49:13,892 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:49:13] "GET /status/ HTTP/1.1" 400 - 
2019-05-02 07:49:29,017 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:49:29] "POST /initialise/ HTTP/1.1" 400 - 
2019-05-02 07:50:38,900 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:50:38] "POST /initialise/ HTTP/1.1" 400 - 
2019-05-02 07:51:51,053 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:51:51] "GET / HTTP/1.1" 200 - 
2019-05-02 07:52:41,511 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:52:41] "GET / HTTP/1.1" 200 - 
2019-05-02 07:56:13,178 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:56:13] "GET / HTTP/1.1" 200 - 
2019-05-02 07:56:25,484 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:56:25] "POST /initialise/ HTTP/1.1" 400 - 
2019-05-02 07:57:18,077 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:57:18] "POST /initialise/ HTTP/1.1" 400 - 
2019-05-02 07:58:28,726 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:58:28] "GET / HTTP/1.1" 200 - 
2019-05-02 07:58:47,192 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 07:58:47] "POST /initialise/ HTTP/1.1" 400 - 
2019-05-02 08:01:09,571 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:01:09] "GET / HTTP/1.1" 200 - 
2019-05-02 08:01:27,462 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:01:27] "POST /initialise/ HTTP/1.1" 400 - 
2019-05-02 08:03:38,766 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:03:38] "GET / HTTP/1.1" 200 - 
2019-05-02 08:03:46,952 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:03:46] "POST /initialise/ HTTP/1.1" 400 - 
2019-05-02 08:04:37,618 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:04:37] "GET / HTTP/1.1" 200 - 
2019-05-02 08:04:46,660 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:04:46] "POST /initialise/ HTTP/1.1" 400 - 
2019-05-02 08:05:31,288 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:05:31] "GET / HTTP/1.1" 200 - 
2019-05-02 08:05:41,772 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:05:41] "POST /initialise/ HTTP/1.1" 200 - 
2019-05-02 08:07:39,578 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:07:39] "GET /status/ HTTP/1.1" 200 - 
2019-05-02 08:09:53,426 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:09:53] "GET / HTTP/1.1" 200 - 
2019-05-02 08:09:59,927 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:09:59] "GET / HTTP/1.1" 200 - 
2019-05-02 08:15:16,154 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:15:16] "GET / HTTP/1.1" 200 - 
2019-05-02 08:15:17,048 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:15:17] "GET /status/ HTTP/1.1" 200 - 
2019-05-02 08:15:23,715 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:15:23] "POST /change/5 HTTP/1.1" 200 - 
2019-05-02 08:15:31,842 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:15:31] "POST /change/5 HTTP/1.1" 200 - 
2019-05-02 08:18:45,643 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:18:45] "POST /change/12 HTTP/1.1" 200 - 
2019-05-02 08:24:55,464 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:24:55] "GET /status/ HTTP/1.1" 200 - 
2019-05-02 08:32:46,366 | /Users/mcossu/Virtualenvs/py3/lib/python3.7/site-packages/werkzeug/_internal.py:122 | _log | INFO | 127.0.0.1 - - [02/May/2019 08:32:46] "GET / HTTP/1.1" 200 - 
